@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R13-16,19-21,28-31-weka.filters.unsupervised.attribute.Remove-R16'

@attribute columna_pacman numeric
@attribute fila_pacman numeric
@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute columna_fantasma_1 numeric
@attribute fila_fantasma_1 numeric
@attribute columna_fantasma_2 numeric
@attribute fila_fantasma_2 numeric
@attribute columna_fantasma_3 numeric
@attribute fila_fantasma_3 numeric
@attribute columna_fantasma_4 numeric
@attribute fila_fantasma_4 numeric
@attribute columna_fantasma_mas_cercano numeric
@attribute fila_fantasma_mas_cercano numeric
@attribute num_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
13,10,4,4,5,6,5,12,13,6,13,12,13,12,1,False,False,False,False,-1,Stop,East,-2
13,11,4,4,5,6,5,12,13,6,13,12,13,12,1,False,False,False,False,-2,East,North,197
13,12,4,3,5,6,5,12,13,6,7,1,13,6,1,False,False,False,False,197,North,North,196
13,11,4,3,5,6,5,12,13,6,7,1,13,6,1,False,False,False,False,196,North,South,195
13,10,4,3,5,6,5,12,13,6,7,1,13,6,1,False,False,False,False,195,South,South,194
13,9,4,3,5,6,5,12,13,6,7,1,13,6,1,False,False,False,False,194,South,South,193
13,8,4,3,5,6,5,12,13,6,7,1,13,6,1,False,False,False,False,193,South,South,192
13,7,4,3,5,6,5,12,13,6,7,1,13,6,1,False,False,False,False,192,South,South,391
13,6,4,2,5,6,5,12,5,1,7,1,5,6,1,False,False,False,False,391,South,South,390
12,6,4,2,5,6,5,12,5,1,7,1,5,6,1,False,False,False,False,390,South,West,389
11,6,4,2,5,6,5,12,5,1,7,1,5,6,1,False,False,False,False,389,West,West,388
10,6,4,2,5,6,5,12,5,1,7,1,5,6,1,False,False,False,False,388,West,West,387
9,6,4,2,5,6,5,12,5,1,7,1,5,6,1,False,False,False,False,387,West,West,386
8,6,4,2,5,6,5,12,5,1,7,1,5,6,1,False,False,False,False,386,West,West,385
7,6,4,2,5,6,5,12,5,1,7,1,5,6,1,False,False,False,False,385,West,West,384
6,6,4,2,5,6,5,12,5,1,7,1,5,6,1,False,False,False,False,384,West,West,583
5,6,4,1,1,1,5,12,5,1,7,1,5,12,1,False,False,False,False,583,West,West,582
6,6,4,1,1,1,5,12,5,1,7,1,5,12,1,False,False,False,False,582,West,East,581
6,7,4,1,1,1,5,12,5,1,7,1,5,12,1,False,False,False,False,581,East,North,580
6,8,4,1,1,1,5,12,5,1,7,1,5,12,1,False,False,False,False,580,North,North,579
6,9,4,1,1,1,5,12,5,1,7,1,5,12,1,False,False,False,False,579,North,North,578
6,10,4,1,1,1,5,12,5,1,7,1,5,12,1,False,False,False,True,578,North,North,577
6,11,4,1,1,1,5,12,5,1,7,1,5,12,1,False,False,False,False,577,North,North,576
2,6,4,4,6,4,8,6,11,3,16,6,6,4,0,True,True,False,False,-1,Stop,East,-2
3,6,4,4,6,4,8,6,11,3,16,6,6,4,0,True,True,False,False,-2,East,East,-3
4,6,4,4,6,4,8,6,11,3,16,6,6,4,0,True,True,False,False,-3,East,East,-4
5,6,4,4,6,4,8,6,11,3,16,6,6,4,0,True,True,False,False,-4,East,East,-5
6,6,4,4,6,4,8,6,11,3,16,6,6,4,0,True,True,False,False,-5,East,East,-6
7,6,4,4,6,4,8,6,11,3,16,6,8,6,0,True,False,False,False,-6,East,East,193
8,6,4,3,6,4,3,1,11,3,16,6,6,4,0,True,True,False,False,193,East,East,192
7,6,4,3,6,4,3,1,11,3,16,6,6,4,0,True,False,False,False,192,East,West,191
7,5,4,3,6,4,3,1,11,3,16,6,6,4,0,False,False,True,True,191,West,South,190
7,4,4,3,6,4,3,1,11,3,16,6,6,4,0,False,False,False,False,190,South,South,389
6,4,4,2,1,1,3,1,11,3,16,6,11,3,0,True,False,False,False,389,South,West,388
7,4,4,2,1,1,3,1,11,3,16,6,11,3,0,False,False,False,False,388,West,East,387
8,4,4,2,1,1,3,1,11,3,16,6,11,3,0,True,False,False,False,387,East,East,386
9,4,4,2,1,1,3,1,11,3,16,6,11,3,0,True,False,False,False,386,East,East,385
10,4,4,2,1,1,3,1,11,3,16,6,11,3,0,True,False,False,False,385,East,East,384
11,4,4,2,1,1,3,1,11,3,16,6,11,3,0,True,False,False,False,384,East,East,583
11,3,4,1,1,1,3,1,5,1,16,6,16,6,0,False,True,False,False,583,East,South,582
12,3,4,1,1,1,3,1,5,1,16,6,16,6,0,False,True,False,False,582,South,East,581
13,3,4,1,1,1,3,1,5,1,16,6,16,6,0,False,True,False,False,581,East,East,580
14,3,4,1,1,1,3,1,5,1,16,6,16,6,0,False,True,False,False,580,East,East,579
15,3,4,1,1,1,3,1,5,1,16,6,16,6,0,False,True,False,False,579,East,East,578
16,3,4,1,1,1,3,1,5,1,16,6,16,6,0,False,True,False,False,578,East,East,577
16,4,4,1,1,1,3,1,5,1,16,6,16,6,0,False,False,False,False,577,East,North,576
1,17,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,True,True,-1,Stop,South,-2
1,16,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,True,-2,South,South,-3
1,15,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,True,-3,South,South,-4
1,14,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,True,-4,South,South,-5
1,13,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,True,True,-5,South,South,-6
1,12,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,True,-6,South,South,-7
1,11,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,True,True,-7,South,South,-8
1,10,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,True,True,-8,South,South,-9
1,9,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,True,True,-9,South,South,-10
1,8,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,True,True,-10,South,South,-11
1,7,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,True,True,-11,South,South,-12
1,6,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,True,-12,South,South,-13
2,6,4,4,5,9,11,3,17,6,25,13,5,9,0,True,False,False,False,-13,South,East,-14
3,6,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,False,-14,East,East,-15
4,6,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,False,-15,East,East,-16
5,6,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,False,-16,East,East,-17
5,7,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,False,-17,East,North,-18
5,8,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,False,-18,North,North,181
5,9,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,False,False,181,North,North,180
6,9,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,True,False,180,North,East,179
6,8,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,True,False,179,East,South,178
6,7,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,True,False,178,South,South,177
6,6,4,3,1,1,11,3,17,6,25,13,11,3,0,False,True,False,False,177,South,South,176
7,6,4,3,1,1,11,3,17,6,25,13,11,3,0,True,True,False,False,176,South,East,175
8,6,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,False,False,175,East,East,174
9,6,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,False,False,174,East,East,173
10,6,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,False,False,173,East,East,172
11,6,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,True,False,172,East,East,171
11,5,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,True,False,171,East,South,170
11,4,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,True,False,170,South,South,369
11,3,4,2,1,1,3,1,17,6,25,13,17,6,0,False,True,True,False,369,South,South,368
11,4,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,368,South,North,367
11,5,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,367,North,North,366
11,6,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,366,North,North,365
11,7,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,365,North,North,364
11,8,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,364,North,North,363
11,9,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,363,North,North,362
11,10,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,362,North,North,361
11,11,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,361,North,North,360
11,12,4,2,1,1,3,1,17,6,25,13,17,6,0,True,False,False,False,360,North,North,359
12,12,4,2,1,1,3,1,17,6,25,13,17,6,0,True,True,False,False,359,North,East,358
13,12,4,2,1,1,3,1,17,6,25,13,17,6,0,True,False,False,False,358,East,East,357
14,12,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,False,False,357,East,East,356
14,11,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,False,False,356,East,South,355
14,10,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,False,False,355,South,South,354
14,9,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,354,South,South,353
14,8,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,False,False,353,South,South,352
14,7,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,352,South,South,351
14,6,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,False,False,351,South,South,350
15,6,4,2,1,1,3,1,17,6,25,13,17,6,0,True,True,False,False,350,South,East,349
16,6,4,2,1,1,3,1,17,6,25,13,17,6,0,True,True,False,False,349,East,East,548
17,6,4,1,1,1,3,1,5,1,25,13,25,13,0,True,False,False,False,548,East,East,547
16,6,4,1,1,1,3,1,5,1,25,13,25,13,0,True,True,False,False,547,East,West,546
15,6,4,1,1,1,3,1,5,1,25,13,25,13,0,True,True,False,False,546,West,West,545
14,6,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,False,False,545,West,West,544
14,7,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,True,False,544,West,North,543
14,8,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,False,False,543,North,North,542
14,9,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,True,False,542,North,North,541
14,10,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,False,False,541,North,North,540
15,10,4,1,1,1,3,1,5,1,25,13,25,13,0,False,True,False,False,540,North,East,539
16,10,4,1,1,1,3,1,5,1,25,13,25,13,0,False,True,False,False,539,East,East,538
17,10,4,1,1,1,3,1,5,1,25,13,25,13,0,False,True,False,False,538,East,East,537
18,10,4,1,1,1,3,1,5,1,25,13,25,13,0,False,True,False,False,537,East,East,536
19,10,4,1,1,1,3,1,5,1,25,13,25,13,0,False,True,False,False,536,East,East,535
20,10,4,1,1,1,3,1,5,1,25,13,25,13,0,False,True,False,False,535,East,East,534
20,11,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,True,False,534,East,North,533
20,12,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,True,False,533,North,North,532
20,13,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,True,False,532,North,North,531
20,14,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,True,False,531,North,North,530
20,15,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,False,True,530,North,North,529
21,15,4,1,1,1,3,1,5,1,25,13,25,13,0,False,True,False,False,529,North,East,528
22,15,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,False,False,528,East,East,527
23,15,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,False,False,527,East,East,526
